composer_id,name
1,Asei Kobayashi
2,Christophe Beck
3,Sean Roldan
4,John Ottman
5,Oliver Coates
6,David Julyan
7,Rolfe Kent
8,Carter Burwell
9,Michael Giacchino
10,Alex Somers
11,John Williams
12,James Newton Howard
13,Harold Budd
14,Lorne Balfe
15,Thomas Newman
16,Andrew Wyatt
17,Justin Hurwitz
18,Danny Bensi
19,George Fenton
20,Howard Shore
21,Marco Beltrami
22,Hildur Guðnadóttir
23,Alfonso G. Aguilar
24,Jang Young-gyu
25,Pat Irwin
26,Elmer Bernstein
27,Gustavo Santaolalla
28,Robert Rodriguez
29,Wojciech Kilar
30,Mark Mothersbaugh
31,Kendrick Lamar
32,Atli Örvarsson
33,Danny Elfman
34,Assassin
35,Michael Brook
36,Angelo Badalamenti
37,Tyler Bates
38,Bill Conti
39,David Arnold
40,Benny Andersson
41,Pete Townshend
42,John Swihart
43,Joseph LoDuca
44,Miklós Rózsa
45,Tom Holkenborg
46,Michael Andrews
47,Raffertie
48,Harold Faltermeyer
49,Grégoire Hetzel
50,Volker Bertelmann
51,Nicolas Becker
52,Adolph Deutsch
53,Rupert Gregson-Williams
54,Clint Mansell
55,Nami Melumad
56,John Murphy
57,Alexandre Desplat
58,Alan Silvestri
59,Brad Fiedel
60,Nathan Wang
61,Heitor Pereira
62,Jean-Benoît Dunckel
63,Benjamin Wallfisch
64,Daniel Pemberton
65,James Horner
66,Kris Bowers
67,Craig Armstrong
68,Jóhann Jóhannsson
69,Charlie Chaplin
70,John Debney
71,Jed Kurzel
72,Leonard Bernstein
73,Hans Zimmer
74,Henry Jackman
75,Trent Reznor
76,Ellie Goulding
77,Mychael Danna
78,Evanthia Reboutsika
79,Keith Forsey
80,Elliot Lawrence
81,Theodore Shapiro
82,Patrick Doyle
83,Ludovico Einaudi
84,John Morris
85,Cornel Wilczek
86,Nigel Godrich
87,Nicholas Britell
88,Maurice Jarre
89,Nathan Johnson
90,Alan Menken
91,Clément Ducol
92,Matthew Compton
93,Harry Gregson-Williams
94,Giorgio Moroder
95,Jonny Greenwood
96,Shoji Yamashiro
97,Herdís Stefánsdóttir
98,Chelsea Wolfe
99,Ludwig Göransson
100,Joel J. Richard
101,Matthew Margeson
102,Warren Casey
103,Brian Tyler
104,Robin Carolan
105,Susumu Hirasawa
106,Emile Mosseri
107,Sameer Phaterpekar
108,Hrishikesh Hirway
109,Ennio Morricone
110,Alfred Newman
111,Aaron Zigman
112,Jay Wadley
113,Henry Mancini
114,Randy Newman
115,Valentin Hadjadj
116,Jessica Rose Weiss
117,Eiko Ishibashi
118,Kenyon Hopkins
119,Elvis Perkins
120,Cristóbal Tapia de Veer
121,Tony Cora
122,Krzysztof Komeda
123,Ryan Lott
124,John Paesano
125,Ramin Djawadi
126,Mac Quayle
127,Rich Vreeland
128,Masaru Satō
129,Bear McCreary
130,Shantanu Moitra
131,Joe Hisaishi
132,Marius de Vries
133,Chanda Dancy
134,Mark Orton
135,Jon Brion
136,Vivian Kubrick
137,John Powell
138,Colin Stetson
139,Cho Young-wuk
140,Chris Bacon
141,Klaus Doldinger
142,Franz Waxman
143,Lizzy Pattinson
144,Stephen Barton
145,Pritam Chakraborty
146,Anna Meredith
147,Rob Simonsen
148,David Newman
149,Gabriel Yared
150,Vangelis
151,Will Bates
152,Joe Wong
153,Bobby Krlic
154,Joby Talbot
155,Erran Baron Cohen
156,Christopher Young
157,Glenn Richards
158,Ben Salisbury
159,Billy Byers
160,Kevin Shields
161,David Sardy
162,Javier Navarrete
163,Abel Korzeniowski
164,Anthony B. Willis
165,Michael Kamen
166,West Dylan Thordson
167,DeVotchKa
168,Marc Shaiman
169,Nancy Wilson
170,Terence Blanchard
171,Pinar Toprak
172,Masahiro Ikumi
173,Pino Donaggio
174,Geoff Barrow
175,Meredith Willson
176,Ira Newborn
177,Jesper Kyd
178,Daniel Lopatin
179,Daniel Blumberg
180,Gottfried Huppertz
181,Stephen Rennicks
182,Martin Phipps
183,Mark Isham
184,Billie Eilish
185,Georges Auric
186,Andrzej Korzyński
187,Anne Dudley
188,Wendy Carlos
189,Christopher Bear
190,Jocelyn Pook
191,Dario Marianelli
192,Kayvan Jahanshahi
193,Bernard Herrmann
194,Daniel Hart
195,Merrill Garbus
196,Stanley Myers
197,Teddy Castellucci
198,Lyle Workman
199,Nicola Piovani
200,Roy Hawkins
201,Bruno Coulais
202,Joel P. West
203,Jerry Goldsmith
204,David A. Hughes
205,Nicholas Hooper
206,Joseph Bishara
207,Drum & Lace
208,Roel A. García
209,Dimitri Tiomkin
210,Yojiro Noda
211,Erik Nordgren
212,Bryce Dessner
213,Khaled Mouzanar
214,Charli xcx
215,Mark Korven
216,Michael Stevens
217,Robbie Robertson
218,Dominic Lewis
219,Jim Williams
220,Michio Mamiya
221,Max Steiner
222,John Adams
223,Dale Cornelius
224,Matty Malneck
225,Simon Franglen
226,Germaine Franco
227,Jack Nitzsche
228,Harold Arlen
229,RZA
230,Emilie Levienaise-Farrouch
