director_id,director_name
1,Isaac Florentine
2,Luca Guadagnino
3,Peter Farrelly
4,Olle Hellbom
5,Robert F. McGowan
6,Jaume Collet-Serra
7,Russ Meyer
8,Al Adamson
9,Rosa von Praunheim
10,Carlos Saldanha
11,Mike Leigh
12,Teruo Ishii
13,Jules White
14,Peter Greenaway
15,Ray Dennis Steckler
16,Takena Nagao
17,Guillermo del Toro
18,Conrad Helten
19,William Hellfire
20,Giuseppe Andrews
21,Katsuya Watanabe
22,Tyler Gillett
23,Wong Kar-wai
24,Marc Webb
25,Nick Park
26,Carl Reiner
27,Steve Martino
28,Peter Bogdanovich
29,Delmer Daves
30,Matthew Vaughn
31,Robert Siodmak
32,Koji Shiraishi
33,Barry Mahon
34,Charlie Chaplin
35,Jia Zhangke
36,Sathyan Anthikad
37,Toshio Matsumoto
38,John Guillermin
39,Ethan Coen
40,Paul Hoen
41,Jodie Mack
42,Noah Baumbach
43,Ang Lee
44,Kenny Ortega
45,Tim Burton
46,Joseph Kane
47,Doug Campbell
48,David A. Prior
49,Rudolf Ising
50,Eric Cloutier
51,Hiroyuki Imaishi
52,Blake Edwards
53,Cheryl Dunye
54,Jean-Marie Straub
55,Walter Hill
56,Bertrand Tavernier
57,Michel Gondry
58,Tony Dow
59,Robert Breer
60,Jon M. Chu
61,Nobuhiro Aihara
62,Abbas Kiarostami
63,Fritz Lang
64,Dustin Ferguson
65,Bill Morrison
66,Ub Iwerks
67,Mark Jean
68,Andrea Arnold
69,Christopher Nolan
70,Roscoe 'Fatty' Arbuckle
71,Barbara Hammer
72,Teo Hernández
73,Trey Parker
74,Claire Denis
75,Alfred Vohrer
76,Todd Phillips
77,M. Night Shyamalan
78,Hawley Pratt
79,Dan Berk
80,Masahiko Otsuka
81,Andrew Kötting
82,David Cronenberg
83,Matt Bettinelli-Olpin
84,K. S. Ravikumar
85,Chris McInroy
86,Stephen Quay
87,Mark L. Lester
88,"Arthur Rankin, Jr."
89,Adam McKay
90,Elia Kazan
91,Gerald Thomas
92,Park Chan-wook
93,Michael Curtiz
94,Alexandre Promio
95,Ngozi Onwurah
96,Neill Blomkamp
97,Lloyd Kaufman
98,Theo Angelopoulos
99,Asghar Farhadi
100,Dave Fleischer
101,Leon Hirszman
102,Chris Marker
103,Ari Aster
104,Charles Grosvenor
105,F. Gary Gray
106,Ismael Rodríguez
107,Jared Masters
108,Huck Botko
109,Shana Moulton
110,Joseph Barbera
111,Fernando Di Leo
112,Otto Messmer
113,Frederick Wiseman
114,Derek Jarman
115,Akira Kurosawa
116,Mel Brooks
117,Norifumi Suzuki
118,Ron Howard
119,Yasuzō Masumura
120,Jacques Demy
121,Francis Lawrence
122,Robert Aldrich
123,Stuart Gillard
124,Jane Campion
125,Kodi Ramakrishna
126,David Lynch
127,Samuel Fuller
128,Antonio Margheriti
129,Lal Jose
130,Paul Thomas
131,Stéphane Bernasconi
132,Timothy Quay
133,Billy Wilder
134,Robert Zemeckis
135,Denis Villeneuve
136,Robert Morgan
137,Seymour Kneitel
138,Jim Henson
139,Robert Vince
140,Shōgorō Nishimura
141,Fred Olen Ray
142,Raúl Ruiz
143,George A. Romero
144,D.W. Griffith
145,Jun Robles Lana
146,David Fincher
147,Albert Pyun
148,Peter de Rome
149,Zdeněk Troška
150,Brian K. Roberts
151,Hamish Hamilton
152,Bill Baggs
153,Ishirō Honda
154,Hollis Frampton
155,John Waters
156,Rohit Shetty
157,Yoshiyuki Tomino
158,Agnès Varda
159,Clyde Geronimi
160,Mark Polonia
161,Xavier Dolan
162,Izzy Sparber
163,Bruno Mattei
164,Joe Dante
165,Werner Herzog
166,Walerian Borowczyk
167,Ron Oliver
168,Louis Lumière
169,Mani Ratnam
170,Tex Avery
171,William Beaudine
172,Alice Rohrwacher
173,Raoul Walsh
174,Renny Harlin
175,Peter Jackson
176,Vittorio De Sica
177,Walt Disney
178,Jean Rollin
179,Steve Rudzinski
180,Frank Borzage
181,Isaac Rodriguez
182,Eli Roth
183,Ryan Polito
184,Hal Roach
185,Corey Yuen Kwai
186,Chantal Akerman
187,Thomas Ridgewell
188,François Ozon
189,Howard Hawks
190,Douglas Sirk
191,Phil Roman
192,Shawn Levy
193,Sean McNamara
194,Steven Soderbergh
195,David Hand
196,Sam Liu
197,George Sidney
198,Kinji Fukasaku
199,Lee Hardcastle
200,Krzysztof Kieślowski
201,Noriaki Yuasa
202,Jun Fukuda
203,Steve Cutts
204,Sidney Lumet
205,Victoria Vincent
206,William Dieterle
207,George Miller
208,Lesley Selander
209,Wenn V. Deramas
210,Henry Hathaway
211,James H. White
212,Yasujirō Ozu
213,Gaspar Noé
214,E.V.V. Satyanarayana
215,Mamoru Hosoda
216,Yukihiko Tsutsumi
217,Bob Peterson
218,Douglas Camfield
219,Cecelia Condit
220,Éric Rohmer
221,William Hanna
222,Luis Buñuel
223,Paul Verhoeven
224,Jonas Mekas
225,Mike Nawrocki
226,Terry Ingram
227,Ernie Gehr
228,Kōyū Ohara
229,Chor Yuen
230,Anne Émond
231,Takashi Shimizu
232,Winsor McCay
233,John Cassavetes
234,Adam Elliot
235,Dylan Clark
236,Tom McGrath
237,Alan Resnick
238,Auguste Lumière
239,Fred Worden
240,John Woo
241,Charles Band
242,Roberto Rossellini
243,Kazuhiro Nakagawa
244,Joseph Bernard
245,Johnnie To
246,Jack King
247,Dean DeBlois
248,Friz Freleng
249,Roy Mack
250,Harald Reinl
251,Baz Luhrmann
252,Jesús Franco
253,Jean Negulesco
254,Ladislav Smoljak
255,Vince Collins
256,Nick Zedd
257,Cirio H. Santiago
258,Satyajit Ray
259,Georges Méliès
260,James Cameron
261,Hal Hartley
262,Edgar Wright
263,Kevin Fair
264,Pete McTighe
265,John Sturges
266,Tobe Hooper
267,Dario Argento
268,James Benning
269,Joel Gallen
270,Masaru Konuma
271,Chuck Jones
272,Sam Newfield
273,Gautham Vasudev Menon
274,Doris Wishman
275,Kevin Jerome Everson
276,Pasupuleti Krishna Vamsi
277,Paco Plaza
278,Jean-Luc Godard
279,Katsuhiko Fujii
280,Gakuryu Ishii
281,Jeff Leroy
282,Rob Reiner
283,Lamberto Bava
284,Dallas Jenkins
285,Tsai Ming-liang
286,Owen Patnaude
287,Richard Thorpe
288,Nicolas Winding Refn
289,Steven Spielberg
290,Andrew Ruse
291,Ken Russell
292,Hong Sang-soo
293,Ben Russell
294,Herschell Gordon Lewis
295,Stuart Gordon
296,William K.L. Dickson
297,Robert Altman
298,Roman Polanski
299,John Cherry
300,Jeff Tremaine
301,Shinya Tsukamoto
302,Wolfgang Reitherman
303,Beyoncé
304,Edward F. Cline
305,Jim Jarmusch
306,Harmony Korine
307,Mike Flanagan
308,Godfrey Ho
309,Spike Lee
310,James W. Horne
311,Pedro Almodóvar
312,René Cardona
313,Edward Dmytryk
314,Sundar C
315,Gordon Douglas
316,Lo Wei
317,Don Hertzfeldt
318,Richard Donner
319,James Mangold
320,Chris Columbus
321,Danny Boyle
322,Lloyd Bacon
323,Gus Van Sant
324,Conrad Vernon
325,Ernst Lubitsch
326,John Musker
327,Petra Cortright
328,Federico Curiel
329,Kōji Wakamatsu
330,Paul Wheeler
331,Sofia Coppola
332,John Huston
333,William A. Wellman
334,Brad Baruh
335,Haruo Sotozaki
336,Glauber Rocha
337,Pete Walker
338,Arturo Ripstein
339,Tim Story
340,Eric Notarnicola
341,Kenji Mizoguchi
342,Edoardo Leo
343,Tsui Hark
344,Hirokazu Kore-eda
345,Takashi Ito
346,Martin Scorsese
347,Mervyn LeRoy
348,Josh Safdie
349,Tyler Perry
350,John Ford
351,Terrence Malick
352,Wong Jing
353,John Frankenheimer
354,Daniel Scheinert
355,Michael Haneke
356,Roger Corman
357,Ho Meng-Hua
358,Todd Haynes
359,Christian Petzold
360,Danièle Huillet
361,Bong Joon Ho
362,Scott Derrickson
363,Carolee Schneemann
364,Jim Cummings
365,Joe Russo
366,Richard Rich
367,Carl Theodor Dreyer
368,Robert McKimson
369,Raja Gosnell
370,David DeCoteau
371,Mike Thurmeier
372,Jack Hannah
373,Shūji Terayama
374,Gary Whitson
375,Gerry Chiniquy
376,Stephen Frears
377,Bill Melendez
378,George Sherman
379,Bill Plympton
380,Wilfred Jackson
381,Todd Solondz
382,Andy Warhol
383,Sion Sono
384,Taika Waititi
385,Don Siegel
386,Anurag Kashyap
387,Albert Birney
388,Kuei Chih-Hung
389,Barry Levinson
390,Herman Yau
391,Ram Gopal Varma
392,Paul Thomas Anderson
393,Chris Renaud
394,Umberto Lenzi
395,Terence Fisher
396,Enzo G. Castellari
397,David Silverman
398,Frank Tashlin
399,Pier Paolo Pasolini
400,Yuen Woo-Ping
401,Sammo Hung Kam-Bo
402,Jorge Furtado
403,Andy Sidaris
404,Basil Dearden
405,Ken Loach
406,Lance Bangs
407,Tim Hill
408,Michael Apted
409,Ron Clements
410,Rainer Werner Fassbinder
411,Norman McLaren
412,Karel Janák
413,J. Lee Thompson
414,Garry Marshall
415,Hari
416,Lotta Losten
417,Seth Breedlove
418,Jan Švankmajer
419,Tom Rubnitz
420,Sachi Hamano
421,Rob Zombie
422,David Lean
423,Zhang Yimou
424,James Parrott
425,William Lau
426,Edward L. Cahn
427,Christopher Barry
428,Dziga Vertov
429,Alan Rudolph
430,Antoine Fuqua
431,Kogonada
432,Michael J. Murphy
433,Terence Davies
434,Mike Nichols
435,Ryuichi Hiroki
436,Guy Ritchie
437,Nathan Plank
438,Michael Powell
439,Kirsten Lepore
440,Takeshi Kitano
441,Stan Brakhage
442,Jim Wynorski
443,Shankar
444,Darren Aronofsky
445,David F. Sandberg
446,Luchino Visconti
447,Joel Coen
448,John Carpenter
449,Buster Keaton
450,Hugh Harman
451,McG
452,Alex Davies
453,Wim Wenders
454,Norman Taurog
455,Lav Diaz
456,Kazuya Tsurumaki
457,Zhang Yuan
458,Francis Ford Coppola
459,Yorgos Lanthimos
460,Benny Safdie
461,J.R. Bookwalter
462,Jean Painlevé
463,Freddie Francis
464,John Lasseter
465,Roy Ward Baker
466,Alice Guy-Blaché
467,James Gunn
468,Sreenu Vaitla
469,Robert N. Bradbury
470,Tony Scott
471,Michael Mann
472,Paul Schrader
473,Joseph W. Sarno
474,Ralph Thomas
475,Gary Halvorson
476,Edwin S. Porter
477,Kurt Kren
478,Craig Pryce
479,Paul Feig
480,Curt McDowell
481,Mack Sennett
482,Jules Bass
483,Tom Clegg
484,Lucio Fulci
485,Roland Emmerich
486,Mario Bava
487,Steven Kostanski
488,Larry Cohen
489,Andre de Nervaux
490,Sadaaki Haginiwa
491,King Hu
492,Jacques Rivette
493,Hisayasu Satô
494,Marcel Carné
495,Gilbert M. Anderson
496,Sam Peckinpah
497,Burt Gillett
498,Richard Fleischer
499,Chang Cheh
500,Ti West
501,Seijun Suzuki
502,Chito S. Roño
503,Len Lye
504,Sam Raimi
505,James Wan
506,John Landis
507,Yang Fudong
508,Anthony Mann
509,Becky Sloan
510,Genndy Tartakovsky
511,Priyadarshan
512,Clint Eastwood
513,Shunji Iwai
514,Henry Koster
515,André Téchiné
516,Quentin Dupieux
517,Makoto Shinkai
518,Jonathan Demme
519,Val Guest
520,Doug Liman
521,Richard Kern
522,Adam Wingard
523,Manoel de Oliveira
524,Joseph L. Mankiewicz
525,Alan Clarke
526,Koichi Sakamoto
527,Apichatpong Weerasethakul
528,John Hubley
529,Manny Rodriguez
530,Anthony Russo
531,François Truffaut
532,Claude Chabrol
533,Walter R. Booth
534,Lynne Sachs
535,Robert Olsen
536,Jay Oliva
537,Can Evrenol
538,Gregg Araki
539,David Gordon Green
540,Lana Wachowski
541,Mark Waters
542,Paul Wendkos
543,Federico Fellini
544,Jim Van Bebber
545,Aki Kaurismäki
546,Jesse V. Johnson
547,Guy Maddin
548,Abel Ferrara
549,Uwe Boll
550,George Cukor
551,Darren Lynn Bousman
552,Del Lord
553,Petter Baiestorf
554,Ray Enright
555,Frank Capra
556,Ridley Scott
557,Robert Clampett
558,Gillian Armstrong
559,Adam Shankman
560,Zack Snyder
561,Les Blank
562,John McTiernan
563,Al Jarnow
564,Nicole Holofcener
565,Jūzō Itami
566,Steve McQueen
567,Takashi Miike
568,Hayao Miyazaki
569,Mikio Naruse
570,Michael Bay
571,David Yates
572,Joe Berlinger
573,Adam Green
574,Lau Kar-Leung
575,Wes Anderson
576,Valentin Vaala
577,Nobuhiko Obayashi
578,Richard Linklater
579,William Heise
580,Júlio Bressane
581,Oliver Stone
582,Dennis Dugan
583,Émile Reynaud
584,Edward Bernds
585,Victor A. Martin
586,Todd Sheets
587,Charles Moisson
588,Kenneth Branagh
589,Roy William Neill
590,Allan Dwan
591,Woody Allen
592,Quentin Tarantino
593,Louis Feuillade
594,Anatole Litvak
595,Marco Ferreri
596,Nicholas Ray
597,Ken Jacobs
598,Segundo de Chomón
599,James A. FitzPatrick
600,Jonni Peppers
601,Eli Hayes
602,Peggy Ahwesh
603,Kunihiko Yuyama
604,Lawrence Gordon Clark
605,Henry King
606,Masaaki Yuasa
607,Joel Haver
608,Paul W. S. Anderson
609,Stanley Kubrick
610,Hideaki Anno
611,Vincente Minnelli
612,Chad Ferrin
613,Hamilton Luske
614,Kevin Smith
615,Joe D'Amato
616,Cathy Garcia-Sampana
617,Spike Jonze
618,David Maloney
619,Lars von Trier
620,Ingmar Bergman
621,Puri Jagannadh
622,Laurent Bouzereau
623,David S. Cass Sr.
624,Billy Bitzer
625,William Wyler
626,Kiyoshi Kurosawa
627,David Firth
628,Ryan Trecartin
629,Robert Stevenson
630,John Polonia
631,Kelly Reichardt
632,Wes Craven
633,Brian Levant
634,Sibi Malayil
635,Brian De Palma
636,Alice Maio Mackay
637,Jack Kinney
638,Joshiy
639,Alfred Hitchcock
640,Brian Klein
641,Robert Rodriguez
642,Joel Schumacher
643,Lana Wilson
644,Charles Burnett
645,Ousmane Sembène
646,Jalmari Helander
647,Edward Sanders
648,Arthur Penn
649,Eric Wareheim
650,Ivan Reitman
651,Neil Jordan
652,Gary Trousdale
653,Michio Yamamoto
654,Ettore Scola
655,Shane Meadows
656,Caroline Kopko
657,Sergei Eisenstein
658,Jill Gevargizian
659,Jamie Benning
660,Daniel Petrie
661,Grigori Kozintsev
662,David Slade
663,Neil Marshall
664,Henry Selick
665,Adinah Dancyger
666,Bill Wurtz
667,Justine Triet
668,Trevor Bather
669,Daniel Kwan
670,Jonathan Goldstein
671,Sebastián Silva
672,Antonio Campos
673,Anthony Pullen Shaw
674,Ciro Guerra
675,Allan Moyle
676,Farah Khan
677,Sharon Maguire
678,Tim Heidecker
679,Aneesh Chaganty
680,Keith Truesdell
681,Carlos Hugo Christensen
