movie_id,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western,year,duration,average_rating,director_id,writer_id,composer_id,studio_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id,language_id,country_1_id,rating_std
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1977,88,4.0,577,1.0,1.0,1,3855.0,4149.0,4504.0,4679.0,3630.0,9,41,0.9070596151748708
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,117,3.2,1892,2.0,2.0,2,427.0,2088.0,3638.0,3653.0,4752.0,13,17,0.6735476330996641
3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,164,3.7,1893,3.0,3.0,3,3784.0,3544.0,4041.0,3745.0,3372.0,24,21,
4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,116,3.8,927,4.0,4.0,4,699.0,724.0,3814.0,4295.0,1632.0,13,17,0.7123781830679434
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,101,4.2,1647,5.0,5.0,5,2539.0,3751.0,3926.0,4244.0,4573.0,13,9,0.7243943271809874
6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2011,95,3.4,1688,6.0,6.0,6,3415.0,3951.0,531.0,4699.0,4092.0,13,17,0.9025646229216122
7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,97,3.8,541,7.0,7.0,7,4175.0,1015.0,4426.0,3072.0,3886.0,13,17,1.006419832881582
8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1996,98,4.2,447,8.0,8.0,8,153.0,1572.0,532.0,145.0,4408.0,13,9,0.6815090885134399
9,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2015,95,3.8,1248,9.0,9.0,9,830.0,4744.0,2909.0,650.0,4381.0,13,17,0.7223872763051071
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2022,115,3.4,1894,10.0,10.0,10,2101.0,167.0,3549.0,3984.0,3758.0,13,17,0.8157573131280376
11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2001,152,3.8,320,11.0,11.0,11,3568.0,1468.0,1818.0,2691.0,2392.0,13,9,0.7398509610482243
12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2023,157,3.6,121,12.0,12.0,6,3783.0,4594.0,4825.0,324.0,1482.0,13,29,0.7444426301795174
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2004,105,4.2,538,13.0,13.0,12,438.0,1306.0,4850.0,4035.0,2883.0,13,17,0.7191872720997604
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,164,3.7,992,14.0,14.0,13,656.0,4513.0,3310.0,3260.0,1098.0,13,17,0.6803023881486495
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,143,3.9,1312,15.0,15.0,14,765.0,732.0,3201.0,770.0,1637.0,13,9,0.7576288536955417
16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,114,3.8,1731,16.0,16.0,15,325.0,724.0,2467.0,4723.0,1488.0,13,9,0.8566767921973703
17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1995,106,4.1,1895,14.0,4.0,16,3633.0,4683.0,2364.0,4797.0,2855.0,13,17,0.8409688642918923
18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2016,129,4.1,1118,17.0,17.0,17,724.0,213.0,2473.0,1923.0,364.0,13,17,0.9383205098054866
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2013,91,3.6,135,18.0,18.0,18,455.0,4780.0,4320.0,3160.0,4146.0,13,40,0.7759747386188592
20,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1993,101,3.8,736,19.0,19.0,19,339.0,2820.0,4782.0,3194.0,3076.0,13,17,0.7290757080937951
21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1995,127,4.3,146,20.0,20.0,20,218.0,71.0,92.0,2855.0,4597.0,13,17,0.6921963600735757
22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2018,91,3.6,1771,21.0,21.0,13,3836.0,3590.0,4482.0,3500.0,4165.0,13,17,0.7742279455019818
23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2024,138,2.4,76,22.0,22.0,11,602.0,4502.0,573.0,4526.0,4397.0,13,17,1.0133545736443983
24,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2019,96,4.2,1896,23.0,23.0,21,324.0,364.0,1178.0,9.0,3570.0,13,10,0.7009931829305032
25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2016,118,4.0,1897,24.0,24.0,22,4346.0,4430.0,4257.0,4201.0,1485.0,16,19,0.6864274627172843
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2014,123,3.3,121,25.0,12.0,6,487.0,4187.0,3170.0,461.0,772.0,13,17,0.7894012243108075
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999,85,4.0,1898,26.0,25.0,23,1196.0,1590.0,4489.0,4323.0,2635.0,13,17,0.7649915008886796
28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1963,173,4.1,265,27.0,26.0,24,3338.0,3494.0,1693.0,4214.0,188.0,13,17,0.599977799567084
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2005,134,4.1,43,28.0,27.0,25,2438.0,455.0,651.0,637.0,2611.0,13,40,0.7011816935439882
30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,136,4.1,592,29.0,28.0,26,2527.0,4852.0,1022.0,2015.0,1851.0,13,17,0.6848467630643387
31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1992,128,3.7,458,30.0,29.0,27,704.0,350.0,404.0,564.0,3308.0,13,17,0.803714887640756
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003,100,3.5,1531,31.0,30.0,28,3116.0,1449.0,865.0,1306.0,3663.0,13,9,0.8646384232970808
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,135,3.7,1116,32.0,31.0,2,1147.0,4399.0,261.0,2981.0,113.0,13,17,0.7302486706523912
34,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,105,3.5,1877,33.0,32.0,29,4697.0,461.0,4820.0,1762.0,3488.0,13,17,0.6425490961135429
