language_id,language
1,Swedish
2,Malay
3,Dutch
4,Cantonese
5,Spanish
6,Persian (Farsi)
7,Romanian
8,Malayalam
9,Japanese
10,Polish
11,Georgian
12,Thai
13,English
14,Norwegian
15,Croatian
16,Korean
17,Russian
18,Greek (modern)
19,Hungarian
20,Indonesian
21,Wolof
22,Vietnamese
23,Mayan
24,Tamil
25,Inuktitut
26,Finnish
27,Kannada
28,Arabic
29,Hindi
30,Irish
31,Danish
32,Portuguese
33,Icelandic
34,Galician
35,Tagalog
36,"Bengali, Bangla"
37,Māori
38,Italian
39,Hebrew (modern)
40,Telugu
41,Turkish
42,No spoken language
43,Slovak
44,German
45,Czech
46,French
47,Chinese
48,Unnamed: 64
49,Bambara
50,"Fula, Fulah, Pulaar, Pular"
51,Bosnian
52,Serbo-Croatian
53,Marathi
54,Kazakh
55,Kinyarwanda
56,Tibetan
57,Serbian
58,Macedonian
59,Kurdish
60,Armenian
61,Urdu
62,Ukrainian
63,Catalan
64,Estonian
65,Lithuanian
66,Bulgarian
