movie_id,country_1_id,country_2_id,country_3_id
1,41,,
2,17,,
3,21,,
4,17,,
5,9,17.0,
6,17,,
7,17,,
8,9,17.0,
9,17,,
10,17,,
11,9,17.0,
12,29,17.0,
13,17,43.0,
14,17,,
15,9,17.0,
16,9,17.0,
17,17,,
18,17,,
19,40,42.0,10.0
20,17,,
21,17,,
22,17,,
23,17,,
24,10,,
25,19,,
26,17,,
27,17,,
28,17,,
29,40,17.0,
30,17,,
31,17,,
32,9,17.0,
33,17,,
34,17,1.0,
35,17,,
36,17,,
37,42,,
38,17,,
39,17,,
40,17,,
41,17,,
42,17,,
43,42,9.0,17.0
44,29,9.0,17.0
45,9,17.0,
46,41,,
47,17,,
48,17,,
49,17,,
50,7,17.0,
51,17,,
52,9,17.0,
53,17,,
54,42,9.0,17.0
55,17,,
56,40,42.0,
57,9,17.0,
58,17,,
59,17,,
60,17,,
61,24,64.0,9.0
62,17,,
63,17,,
64,17,,
65,17,,
66,17,,
67,17,,
68,17,,
69,17,,
70,42,17.0,
71,17,,
72,17,,
73,17,,
74,17,,
75,17,,
76,17,,
77,17,,
78,17,,
79,17,,
80,17,,
81,17,,
82,17,,
83,17,,
84,7,40.0,
85,17,,
86,9,17.0,
87,17,,
88,40,42.0,17.0
89,17,,
90,17,,
91,17,,
92,17,,
93,17,,
94,31,,
95,17,,
96,17,,
97,9,17.0,
98,30,17.0,42.0
99,42,9.0,
100,17,,
101,7,9.0,
102,17,,
103,41,9.0,17.0
104,17,,
105,9,,
106,17,,
107,17,,
108,17,,
109,36,42.0,17.0
110,9,17.0,
111,17,,
112,17,,
113,17,,
114,17,,
115,17,,
116,17,1.0,
117,41,,
118,17,,
119,17,,
120,17,,
121,17,,
122,17,,
123,17,,
124,9,17.0,118.0
125,10,17.0,
126,17,,
127,9,17.0,
128,9,17.0,
129,41,17.0,
130,17,,
131,14,17.0,
132,21,33.0,9.0
133,32,17.0,
134,7,37.0,17.0
135,9,17.0,
136,17,,
137,17,,
138,41,,
139,17,,
140,17,,
141,17,,
142,17,,
143,17,,
144,9,17.0,
145,17,,
146,21,,
147,9,17.0,
148,17,,
149,17,,
150,17,,
151,17,,
152,17,,
153,17,,
154,17,,
155,17,,
156,32,17.0,
157,17,,
158,17,,
159,7,37.0,17.0
160,36,42.0,43.0
161,17,,
162,41,,
163,17,,
164,40,17.0,
165,17,,
166,17,,
167,17,,
168,17,9.0,
169,17,,
170,17,,
171,9,17.0,
172,17,,
173,17,9.0,
174,17,,
175,29,24.0,10.0
176,40,17.0,
177,17,,
178,42,29.0,13.0
179,9,17.0,
180,7,9.0,17.0
