movie_id,title,year,duration,average_rating
1,House,1977,88,4.0
2,Ant-Man,2015,117,3.2
3,Jai Bhim,2021,164,3.7
4,The Nice Guys,2016,116,3.8
5,Aftersun,2022,101,4.2
6,The Cabin in the Woods,2011,95,3.4
7,Mean Girls,2004,97,3.8
8,Fargo,1996,98,4.2
9,Inside Out,2015,95,3.8
10,Fresh,2022,115,3.4
11,Harry Potter and the Philosopher's Stone,2001,152,3.8
12,The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,3.6
13,Mysterious Skin,2004,105,4.2
14,Mission: Impossible – Dead Reckoning,2023,164,3.7
15,Skyfall,2012,143,3.9
16,Barbie,2023,114,3.8
17,The Usual Suspects,1995,106,4.1
18,La La Land,2016,129,4.1
19,Enemy,2013,91,3.6
20,Groundhog Day,1993,101,3.8
21,Se7en,1995,127,4.3
22,A Quiet Place,2018,91,3.6
23,Joker: Folie à Deux,2024,138,2.4
24,Klaus,2019,96,4.2
25,Train to Busan,2016,118,4.0
26,The Hunger Games: Mockingjay – Part 1,2014,123,3.3
27,But I'm a Cheerleader,1999,85,4.0
28,The Great Escape,1963,173,4.1
29,Brokeback Mountain,2005,134,4.1
30,Kill Bill: Vol. 2,2004,136,4.1
31,Bram Stoker's Dracula,1992,128,3.7
32,Thirteen,2003,100,3.5
33,Black Panther,2018,135,3.7
34,The Edge of Seventeen,2016,105,3.5
35,Doctor Strange in the Multiverse of Madness,2022,126,2.9
36,Star Wars: The Force Awakens,2015,136,3.3
37,La haine,1995,98,4.5
38,The Perks of Being a Wallflower,2012,103,4.0
39,Avengers: Age of Ultron,2015,141,3.2
40,Blue Velvet,1986,120,4.1
41,Pearl,2022,102,3.7
42,Rocky,1976,120,4.1
43,Hot Fuzz,2007,121,4.1
44,Mamma Mia!,2008,108,3.8
45,Charlie and the Chocolate Factory,2005,115,3.3
46,A Silent Voice: The Movie,2016,129,4.2
47,Napoleon Dynamite,2004,95,3.7
48,The Evil Dead,1981,85,3.7
49,Double Indemnity,1944,107,4.3
50,Mad Max: Fury Road,2015,121,4.2
51,Donnie Darko,2001,114,4.0
52,World War Z,2013,116,3.2
53,Frozen II,2019,103,3.1
54,The Substance,2024,141,3.8
55,Top Gun,1986,110,3.4
56,Incendies,2010,131,4.4
57,Conclave,2024,120,3.9
58,Sound of Metal,2019,120,4.2
59,The Apartment,1960,125,4.4
60,Venom: Let There Be Carnage,2021,97,2.5
61,Hotel Rwanda,2004,121,3.8
62,Star Wars: The Rise of Skywalker,2019,142,2.3
63,Black Swan,2010,109,4.2
64,Spider-Man: Far From Home,2019,129,3.4
65,Thor: Love and Thunder,2022,119,2.4
66,Beetlejuice Beetlejuice,2024,105,3.2
67,The Suicide Squad,2021,132,3.5
68,Moonrise Kingdom,2012,94,4.0
69,Back to the Future,1985,116,4.2
70,Terminator 2: Judgment Day,1991,137,4.3
71,She's the Man,2006,105,3.4
72,Puss in Boots: The Last Wish,2022,103,4.1
73,The Virgin Suicides,1999,97,3.8
74,Alien: Romulus,2024,119,3.6
75,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,109,3.0
76,Some Like It Hot,1959,122,4.3
77,Titanic,1997,194,3.8
78,It,2017,135,3.4
79,Green Book,2018,130,3.8
80,Me Before You,2016,110,3.4
81,Prisoners,2013,153,4.3
82,City Lights,1931,87,4.3
83,Elf,2003,97,3.5
84,The Babadook,2014,94,3.3
85,West Side Story,2021,156,3.6
86,Gladiator,2000,155,4.1
87,Big Hero 6,2014,102,3.8
88,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,100,3.8
89,The Hunger Games: Catching Fire,2013,146,3.9
90,The Gold Rush,1925,95,4.1
91,Cocaine Bear,2023,95,2.7
92,Carry-On,2024,120,3.0
93,Moneyball,2011,134,3.9
94,My Father and My Son,2005,112,3.9
95,The Breakfast Club,1985,98,3.8
96,Network,1976,122,4.3
97,The Secret Life of Walter Mitty,2013,114,3.8
98,Bridget Jones's Diary,2001,97,3.5
99,The Father,2020,97,4.3
100,The Elephant Man,1980,124,4.3
101,Talk to Me,2022,95,3.5
102,Legally Blonde,2001,96,3.8
103,Scott Pilgrim vs. the World,2010,113,3.9
104,The Big Short,2015,131,3.8
105,Lawrence of Arabia,1962,228,4.4
106,Knives Out,2019,131,4.0
107,Tangled,2010,100,4.0
108,Nomadland,2020,108,3.8
109,Emilia Pérez,2024,132,2.0
110,Inception,2010,148,4.2
111,Palm Springs,2020,90,3.8
112,Gladiator II,2024,148,3.3
113,Scarface,1983,169,4.1
114,The Lion King,1994,89,4.2
115,Babylon,2022,189,3.8
116,Phantom Thread,2017,130,4.1
117,Akira,1988,124,4.3
118,E.T. the Extra-Terrestrial,1982,115,3.8
119,Mission: Impossible,1996,110,3.6
120,Trap,2024,105,2.7
121,Madagascar,2005,86,3.5
122,Brave,2012,93,3.4
123,X,2022,106,3.4
124,Tenet,2020,150,3.4
125,Society of the Snow,2023,144,4.1
126,John Wick: Chapter 2,2017,122,3.7
127,Kingsman: The Secret Service,2014,129,3.7
128,Grease,1978,110,3.5
129,The Super Mario Bros. Movie,2023,93,3.2
130,Nosferatu,2024,133,3.7
131,The Mitchells vs. the Machines,2021,110,3.9
132,Life of Pi,2012,127,3.7
133,The Lord of the Rings: The Two Towers,2002,179,4.4
134,The Lego Movie,2014,100,3.8
135,Rango,2011,112,3.7
136,Fantastic Mr. Fox,2009,87,4.3
137,Crazy Rich Asians,2018,121,3.5
138,Paprika,2006,90,4.1
139,Thor: The Dark World,2013,112,2.2
140,Finding Dory,2016,97,3.3
141,Home Alone 2: Lost in New York,1992,120,3.5
142,Ready Player One,2018,140,3.3
143,The Hunger Games,2012,142,3.7
144,Dawn of the Planet of the Apes,2014,130,3.8
145,Minari,2020,115,4.1
146,Drishyam,2015,163,3.8
147,Rocketman,2019,121,3.7
148,Companion,2025,97,3.5
149,Spider-Man,2002,121,3.8
150,Once Upon a Time in America,1984,229,4.2
151,Pitch Perfect,2012,112,3.5
152,Indiana Jones and the Dial of Destiny,2023,155,2.9
