studio_id,studio_name
1,Toho Eizo Bijutsu
2,Marvel Studios
3,2D Entertainment
4,Silver Pictures
5,PASTEL
6,Lionsgate
7,Broadway Video
8,PolyGram Filmed Entertainment
9,Pixar
10,Legendary Pictures
11,Warner Bros. Pictures
12,Desperate Pictures
13,Paramount Pictures
14,Metro-Goldwyn-Mayer
15,LuckyChap Entertainment
16,Bad Hat Harry Productions
17,Summit Entertainment
18,Rhombus Media
19,Columbia Pictures
20,New Line Cinema
21,Atresmedia
22,Next Entertainment World
23,Ignite Entertainment
24,The Mirisch Company
25,Focus Features
26,Super Cool ManChu
27,American Zoetrope
28,Michael London Productions
29,Tang Media Productions
30,Lucasfilm Ltd.
31,Kasso Productions
32,Mr. Mudd
33,DEG
34,A24
35,Winkler Films
36,Big Talk Studios
37,Littlestar
38,Kyoto Animation
39,Napoleon Pictures
40,Renaissance Pictures
41,Flower Films
42,GK Films
43,Walt Disney Pictures
44,Working Title Films
45,TS Productions
46,FilmNation Entertainment
47,Flat 7
48,Fox Searchlight Pictures
49,DC Films
50,Indian Paintbrush
51,Universal Pictures
52,Carolco Pictures
53,Lakeshore Entertainment
54,DreamWorks Animation
55,20th Century Studios
56,Participant
57,Alcon Entertainment
58,Charles Chaplin Productions
59,Screen Australia
60,Dylan Clark Productions
61,Avşar Film
62,20th Century Fox
63,Les Films du Cru
64,Brooksfilms
65,Causeway Films
66,Marc Platt Productions
67,Horizon Pictures
68,Walt Disney Animation Studios
69,Cor Cordium Productions
70,Why Not Productions
71,Limelight
72,MBS
73,Blinding Edge Pictures
74,Pacific Data Images
75,El Arriero Films
76,Thunder Road
77,Lord Miller
78,Fox 2000 Pictures
79,Village Roadshow Pictures
80,Regency Enterprises
81,SK Global Entertainment
82,Madhouse
83,Amblin Entertainment
84,TSG Entertainment
85,Plan B Entertainment
86,Panorama Studios
87,BoulderLight Pictures
88,Marvel Enterprises
89,Embassy International Pictures
90,Brownstone Productions
91,Likely Story
92,Lin Pictures
93,Menuet
94,Excellent Cadaver
95,Bitters End
96,United Artists
97,C2 Motion Picture Group
98,Paramount Players
99,Haxan Films
100,William Castle Productions
101,1492 Pictures
102,IAC Films
103,Spyglass Entertainment
104,Orion Pictures
105,Ingenious Media
106,PEA
107,SLM Production Group
108,Canal+
109,Tim Burton Productions
110,Esmail Corp
111,Two Flints
112,TOHO
113,Bad Robot
114,Jerry Bruckheimer Films
115,Vidhu Vinod Chopra Productions
116,Studio Ghibli
117,Touchstone Pictures
118,Marv
119,Miramax
120,Searchlight Pictures
121,Marvel Entertainment
122,Gaumont
123,Natant
124,Dune Entertainment
125,Vertigo Entertainment
126,Hyperobject Industries
127,Moho Film
128,RAI
129,Radiant Film GmbH
130,Selznick International Pictures
131,Fox Atomic
132,Aamir Khan Productions
133,Syncopy
134,PalmStar Media
135,Jersey Films
136,Creado Film
137,Shaw Brothers
138,Black Bear Pictures
139,Awesomeness Films
140,Matt Tolmach Productions
141,Blumhouse Productions
142,DreamWorks Pictures
143,DNA Films
144,Laura Ziskin Productions
145,Pakula-Mulligan
146,Spooky Pictures
147,Dimension Films
148,The Zanuck/Brown Company
149,Pariah
150,Estudios Picasso
151,Fade to Black
152,Atomic Monster
153,The Donners' Company
154,Double Dare You
155,Amusement Park Films
156,The Weinstein Company
157,Big Beach
158,Castle Rock Entertainment
159,PCMA Productions
160,Pascal Pictures
161,Great American Films Limited Partnership
162,Société générale des films
163,Brookstreet Pictures
164,UFA
165,Téléfilm Canada
166,Apple Studios
167,Red Wagon Entertainment
168,Heyday Films
169,EON Productions
170,SKA Films
171,Compagnie Industrielle et Commerciale Cinématographique
172,A Steven Haft Production
173,StudioCanal
174,Kanoon
175,Italo/Judeo Productions
176,Mosaic Media Group
177,Studio Babelsberg
178,20th Century Fox Animation
179,Cinereach
180,Golden Mean
181,Illumination
182,Mario e Vittorio Cecchi Gori - C.E.I.A.D.
183,Laika
184,87Eleven
185,RatPac Entertainment
186,The Steve Tisch Company
187,Film4 Productions
188,Fremantle
189,Evergreen Media Group
190,Amazon Studios
191,Radio Silence Productions
192,Jet Tone Production
193,CoMix Wave Films
194,SF Studios
195,Boo Pictures
196,Very Special Projects
197,B-Reel Films
198,Matten Productions
199,TriStar Pictures
200,Tribeca Productions
201,87North Productions
202,Kazak Productions
203,La Cinéfacture
204,Melodrama Pictures
205,6th & Idaho Motion Picture Company
206,Edward Small Productions
207,T-Street
208,Newmarket Films
209,Hoya Productions
210,Parkes/MacDonald Productions
211,Bad Girl Creek
212,Shamley Productions
