user_id,country1_rate,country2_rate,country3_rate,country4_rate,country5_rate,country6_rate,country7_rate,country8_rate,country9_rate,country10_rate,country1_norm_rate,country2_norm_rate,country3_norm_rate,country4_norm_rate,country5_norm_rate,country6_norm_rate,country7_norm_rate,country8_norm_rate,country9_norm_rate,country10_norm_rate
0,26,28,20,37,38,27,15,32,19,41,-0.1379577789694989,-0.1884317799157326,-0.3129343155831089,-0.4912757855931345,-0.5753991205035263,-0.7941197912705387,-0.8761400428081687,-1.0327241593800074,-1.1449390849760457,-1.1949281140554109
1,43,32,85,19,28,30,14,41,20,37,1.436831050552995,1.393086916399593,1.1743662456325803,0.8931539546464216,0.8462852394820606,0.7806690382519557,0.5953997641904863,0.4140515329662979,0.1188012693222127,0.0409954971126008
2,35,33,5,14,34,41,69,26,42,24,1.5919238898241517,1.320180026143922,1.1743662456325803,0.6578131721189964,0.3951738560250958,0.3463522777288857,0.1901232271810208,0.1602976811673387,0.0118974034407163,0.0016511598179566
3,35,5,34,13,28,15,33,24,85,4,2.355457867774452,2.2679695994676474,1.83052825793362,1.5024472517831002,1.320180026143922,1.305598648092788,1.1147151536052162,1.0806288153038608,1.043133843172373,1.0103257425573204
4,5,83,93,33,22,68,8,35,51,14,0.2735336524735254,-0.0067253765092915,-0.0442203486407793,-0.0984299469031696,-0.1147991197118153,-0.1379577789694989,-0.3635134706979814,-0.3756976384988628,-0.3797016782383041,-0.4144537212598749
5,33,19,28,5,35,13,8,27,38,20,1.2681036759613,1.001692031869149,0.8462852394820606,0.8462852394820606,0.5872739188369129,0.5182042333315408,0.5182042333315408,0.3723904528201991,0.1901232271810208,0.0471135578333588
6,19,35,14,6,37,32,36,20,26,42,0.8462852394820606,0.5182042333315408,0.3541637302562808,-0.0783066869421312,-0.0942136448160965,-0.3169110550516011,-0.5555154231610699,-0.5753991205035263,-0.7941197912705387,-0.8499633667855212
7,48,63,35,114,13,54,91,5,30,16,0.5182042333315408,0.1901232271810208,-0.096947653200684,-0.1379577789694989,-0.1567052650352429,-0.2691901814297064,-0.2893797818081987,-0.2941868295173638,-0.3723013547912992,-0.419170069955659
8,35,51,5,112,54,58,31,28,19,75,1.99456876100888,1.2681036759613,1.2472731358882512,0.70567909398898,0.5182042333315408,0.5182042333315408,0.5182042333315408,0.2994835625645271,0.2435317630659887,0.1901232271810208
9,32,28,19,6,33,88,10,21,14,1,1.0550640615778448,0.9119014407121656,0.7806690382519557,0.5706971943156228,0.5182042333315408,0.5182042333315408,0.452588032101437,0.3307293726741014,0.3094254112357553,0.279599865222072
11,2,28,26,32,19,23,24,15,42,13,0.5182042333315408,-0.0442203486407793,-0.1379577789694989,-0.2108646692251698,-0.4660387851200188,-0.4660387851200188,-0.5458422731025774,-0.7941197912705387,-0.9086178605311234,-0.9399335717818804
12,32,37,7,8,40,21,17,9,29,41,0.7806690382519557,0.3869718308713332,-0.2316952092982209,-0.419170069955659,-0.6191432546569288,-1.3565443732428588,-1.391168108769683,-1.456530965593492,-1.5049619712633322,-2.005495813980151
13,35,33,26,19,28,32,30,22,27,20,2.3226497671594,1.305598648092788,1.1743662456325803,1.043133843172373,0.3541637302562808,-0.0221644826810794,-0.1379577789694989,-0.1379577789694989,-0.2316952092982209,-0.2572599630242322
14,5,26,35,43,20,24,13,2,42,37,2.8803874776152845,2.15860926408414,1.5024472517831002,1.4204270002454704,1.1517399693463373,1.043133843172373,0.794482975353032,0.7568086014410095,0.6531861330048979,0.6002244848691707
15,91,15,19,13,28,87,2,20,42,36,1.1743662456325803,1.0806288153038608,-0.1379577789694989,-0.4660387851200188,-0.7941197912705387,-0.7941197912705387,-0.9581602943457986,-1.0382730981732515,-1.159511970669549,-1.4830899041866308
16,19,32,30,14,21,10,85,9,17,41,1.4477670840913477,1.0806288153038608,-0.3840185335823889,-0.419170069955659,-0.6066449306130971,-0.6483060107591959,-0.7941197912705387,-0.8283543310427672,-0.8667611793766985,-1.0128404620375524
17,32,33,19,30,14,24,28,41,8,9,0.8462852394820606,-0.4660387851200188,-0.5625331986937008,-0.6300792881952788,-0.7416268302864555,-0.9253521937307462,-1.4502818035715783,-1.4502818035715783,-1.4502818035715783,-1.5741725331668792
18,55,5,14,13,2,22,76,41,33,35,0.5182042333315408,0.0807628917975146,-0.3586668194707575,-0.3947168272612107,-0.4362132391063367,-0.4660387851200188,-0.4660387851200188,-0.5873549127962562,-0.5952828178459802,-0.6483060107591959
19,6,5,19,41,24,28,32,21,2,4,1.1743662456325803,0.9954129695504784,0.7254132898476574,0.6275645687150482,0.4326178839009705,0.3989020492768075,0.2994835625645271,0.2994835625645271,0.279599865222072,0.2557394284111246
20,24,19,32,41,28,30,43,21,42,9,1.83052825793362,1.5680634530132052,1.3384067487078404,0.6087093384765113,0.1901232271810208,0.0807628917975146,-0.0067253765092915,-0.0067253765092915,-0.2741423475602806,-0.3019982820447589
21,13,6,69,26,55,43,19,2,63,21,0.7806690382519557,-0.0874837780232653,-0.1379577789694989,-0.2316952092982209,-0.2316952092982209,-0.2537510752579173,-0.3566784497365126,-0.3566784497365126,-0.4660387851200188,-0.5316549863501225
22,33,19,28,32,24,36,20,8,64,6,0.8462852394820606,0.7369249040985532,-0.7941197912705387,-0.7941197912705387,-0.8736545806403616,-0.8878572215992583,-0.94851085298843,-1.0565845961909548,-1.0565845961909548,-1.2042210489586886
23,22,26,5,43,91,8,20,63,41,35,-0.2691901814297064,-0.5480590366576488,-0.6628873888103313,-0.8566114114896851,-0.9815946519279792,-1.0753320822566987,-1.3154539928247897,-1.4157469608188924,-1.4888795690010512,-1.5049619712633322
24,35,22,5,26,34,38,24,13,14,33,1.976342038444962,1.1743662456325803,0.5182042333315408,0.0807628917975146,-0.0067253765092915,-0.0650508887138281,-0.1591242954953383,-0.5869107347544208,-0.6220117224702646,-0.6483060107591959
25,28,2,19,63,41,42,14,8,1,21,0.3723904528201991,-0.419170069955659,-0.4660387851200188,-0.4660387851200188,-0.6446145226449845,-0.6956954894253825,-0.8398985363147962,-0.9581602943457986,-0.9690963278841488,-0.9909683949608512
26,2,19,35,85,36,88,8,32,26,37,0.8462852394820606,0.5752617996185867,0.5182042333315408,-0.0067253765092915,-0.2537510752579173,-0.2691901814297064,-0.4660387851200188,-0.4853376678347552,-0.5316549863501225,-0.700382360941819
27,14,28,85,42,2,33,38,39,41,24,-1.034404471831483,-1.231561132804566,-1.231561132804566,-1.2893364043279272,-1.3565443732428588,-1.4502818035715783,-1.5099328955989462,-1.581514206031786,-1.6308768528287456,-1.655170337056883
28,101,63,35,8,27,31,33,5,48,87,2.8803874776152845,2.851224721513016,2.642919320782526,2.335268267395959,2.2909928279694367,2.2679695994676474,2.175876685460484,2.111740548919779,2.092993062854035,2.069132626043089
29,15,35,18,20,37,85,22,14,43,33,1.83052825793362,1.538900696910937,0.955645574865568,0.8635526608584042,0.809831794354224,0.70567909398898,0.6494366357917483,0.6483520704821609,0.6275645687150482,0.5182042333315408
30,5,13,35,22,32,14,2,30,41,38,1.1743662456325803,0.8306623344272728,0.7150528370218531,0.7004714589707189,0.6494366357917483,0.3307293726741014,0.3109951768154229,0.3082323893952078,0.2426628900876876,0.1536697820531854
31,22,35,14,20,28,1,27,37,26,32,0.2994835625645271,0.2557394284111246,-0.0897105721826574,-0.1950153452565473,-0.3019982820447589,-0.3816750978241712,-0.4004225838899151,-0.4266690643819561,-0.4487713637436764,-0.4853376678347552
32,31,13,28,26,55,35,54,76,27,41,1.83052825793362,0.955645574865568,0.8931539546464216,0.8761107854957451,0.8462852394820606,0.6822447364068006,0.5182042333315408,0.5182042333315408,0.1901232271810208,-0.0711518837143024
33,19,20,41,37,42,32,43,24,9,14,1.4555785366187393,0.2994835625645271,0.2229313277960733,-0.0067253765092915,-0.2852594552003449,-0.419170069955659,-0.4660387851200188,-0.6748176072158043,-0.6939423848123648,-0.7941197912705387
34,27,37,20,8,2,26,28,91,13,43,1.1743662456325803,0.6275645687150482,0.5634567859040271,0.5182042333315408,0.3989020492768075,0.2994835625645271,0.2557394284111246,0.2557394284111246,0.143254512016661,-0.0067253765092915
35,35,37,13,2,19,20,14,8,32,42,2.092993062854035,1.305598648092788,0.5182042333315408,0.5182042333315408,0.316308229546605,0.2265766723088562,0.2265766723088562,-0.1379577789694989,-0.1884317799157326,-0.2400274253274381
36,5,87,28,15,26,31,33,43,42,13,0.5182042333315408,0.2557394284111246,-0.1379577789694989,-0.3169110550516011,-0.3566784497365126,-0.4660387851200188,-0.5316549863501225,-0.6229470924093972,-0.8362586360972109,-0.8670266815262095
37,84,48,77,101,87,31,35,27,54,5,0.0260827241057609,-0.0067253765092915,-0.0442203486407793,-0.1379577789694989,-0.16420425946154,-0.2785639244625773,-0.3230291157723569,-0.393131894864348,-0.419170069955659,-0.439437622459166
39,32,38,19,33,20,112,42,36,14,9,2.0180031185910594,1.538900696910937,1.5024472517831002,1.5024472517831002,1.1743662456325803,0.8462852394820606,0.8123458250526957,0.7369249040985532,0.5715507383966664,0.5437689870575543
40,27,37,20,31,43,19,36,42,55,18,0.2557394284111246,0.1682511601043173,0.1006465891399698,0.0807628917975146,-0.2473181143530052,-0.3566784497365126,-0.442032857840711,-0.4608311501017566,-0.5316549863501225,-0.5753991205035263
41,35,22,26,20,15,33,4,63,21,13,1.83052825793362,1.3384067487078404,0.7568086014410095,0.5439360769511893,0.5182042333315408,0.5182042333315408,0.5182042333315408,0.5182042333315408,0.5182042333315408,0.4677302323853071
42,20,8,19,15,43,27,41,26,37,33,0.8462852394820606,0.7806690382519557,0.452588032101437,0.2994835625645271,0.2994835625645271,0.2557394284111246,-0.0764425903162765,-0.2316952092982209,-0.2415623072275573,-0.4660387851200188
43,41,15,37,31,9,32,85,14,30,38,1.9209179228934576,1.83052825793362,1.5680634530132052,1.4555785366187393,1.2288897366260778,1.2129640110620532,1.1743662456325803,1.0624225952400144,1.0103257425573204,0.8856549602201221
