user_id,director1_count,director2_count,director3_count,director4_count,director5_count,director6_count,director7_count,director8_count,director9_count,director10_count,director1_norm_count,director2_norm_count,director3_norm_count,director4_norm_count,director5_norm_count,director6_norm_count,director7_norm_count,director8_norm_count,director9_norm_count,director10_norm_count
0,567,549,289,512,556,635,546,240,82,448,0.4250462695521529,0.3465336892145843,0.3377441632236085,0.3377441632236085,0.3285805042330045,0.3190094402256551,0.2984878730548242,0.2984878730548242,0.2984878730548242,0.2984878730548242
1,346,639,158,568,133,611,550,625,262,361,0.2758023330247408,0.2634953556231368,0.2216909471103107,0.1697655036982429,0.1492439365274122,0.1492439365274122,0.1492439365274122,0.1265583964973288,0.1265583964973288,0.1011981203676519
2,278,591,292,194,580,289,346,245,126,639,0.5277344546010212,0.4127392921505489,0.3784905180736093,0.3465336892145843,0.3465336892145843,0.3285805042330045,0.3285805042330045,0.3285805042330045,0.3190094402256551,0.2984878730548242
3,346,289,194,311,45,447,512,82,134,77,0.3549784377305916,0.3190094402256551,0.3089930534388552,0.250442056895064,0.250442056895064,0.250442056895064,0.2365460428559566,0.2365460428559566,0.2365460428559566,0.2216909471103107
4,441,278,259,591,255,466,126,346,547,168,0.694783032822224,0.5859316080296617,0.5619832286779609,0.5083237075403111,0.4957776257419965,0.4869880997510205,0.468253376753067,0.442280544059136,0.442280544059136,0.442280544059136
5,579,476,296,211,441,639,126,346,289,447,0.4309456382278558,0.4127392921505489,0.399685993422476,0.3709348836377228,0.3285805042330045,0.3089930534388552,0.3089930534388552,0.2874437349748375,0.2634953556231368,0.2634953556231368
6,45,77,289,146,592,556,639,69,380,609,0.2216909471103107,0.2057345012031795,0.1885002266961964,0.1885002266961964,0.1697655036982429,0.1492439365274122,0.1492439365274122,0.1492439365274122,0.1265583964973288,0.1265583964973288
7,620,346,639,158,115,34,289,133,531,278,0.5162991929128273,0.5083237075403111,0.5042223742580036,0.468253376753067,0.3928500704771336,0.3857899793833687,0.3784905180736093,0.3631044393532853,0.3377441632236085,0.3285805042330045
8,158,346,289,611,639,194,311,556,11,309,0.442280544059136,0.4366876715022497,0.399685993422476,0.3928500704771336,0.3549784377305916,0.3549784377305916,0.3549784377305916,0.3465336892145843,0.3465336892145843,0.3377441632236085
9,289,591,346,556,512,45,581,126,632,134,0.4127392921505489,0.3857899793833687,0.3631044393532853,0.3377441632236085,0.3285805042330045,0.3190094402256551,0.3190094402256551,0.3089930534388552,0.2874437349748375,0.2634953556231368
11,289,575,220,82,259,168,632,311,331,103,0.2984878730548242,0.2216909471103107,0.2216909471103107,0.2057345012031795,0.1697655036982429,0.1697655036982429,0.1697655036982429,0.1492439365274122,0.1492439365274122,0.1492439365274122
