user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
0,13,4,38,9,44,46,16,47,5,31,0.8402360710100806,0.4629002118232427,0.4376332635166691,0.427356709889726,0.4233604591036277,0.4032600717196313,0.4020243671130865,0.3396934596662253,0.2820816016374298,0.2153674589788157
1,13,46,9,42,16,5,38,4,1,47,0.7112441171206644,0.3815375622277338,0.3561702031500476,0.3202056083882972,0.2287458041304111,0.2000718021862013,0.1822158491407513,0.1607667087441261,0.1339043986121942,0.1174276551283719
2,13,32,46,42,9,5,38,4,47,44,0.7762449723753878,0.5980033586035504,0.5644355276463425,0.4839009183550928,0.4748628110060905,0.4080648023110133,0.3929496983619873,0.3769230071556467,0.3635446620040513,0.346173459258783
3,13,46,9,5,16,44,42,38,47,1,0.7581945702631342,0.419208975819716,0.3784834327957001,0.3174994573145732,0.2656048581536075,0.2513320537405661,0.2461170068756794,0.2348553102567439,0.2222658045378533,0.1822158491407513
4,13,42,46,9,38,5,44,32,17,47,0.9076623115584518,0.7556794599158495,0.6918113481722152,0.5906005138091359,0.5611209284713514,0.5611209284713514,0.5373398391291444,0.499465861165943,0.4723177560562879,0.4470078725179705
5,13,42,46,9,5,17,38,1,44,10,0.7551327208312424,0.5633420423245246,0.4478207072943588,0.3784834327957001,0.2858324165912593,0.278194363872498,0.2741604036988191,0.2563044506533691,0.2406344072853893,0.2287458041304111
6,13,5,42,46,38,9,44,16,32,1,0.7058050059386457,0.3059328039752558,0.3059328039752558,0.2513320537405661,0.2406344072853893,0.1822158491407513,0.1339043986121942,0.1174276551283719,0.1174276551283719,0.0979398038504438
7,13,46,42,9,38,5,1,44,47,16,0.8022120881228308,0.551437274744867,0.5004601684103516,0.4943506622840186,0.4263715668977336,0.4020243671130865,0.3753394632592063,0.3617481952125225,0.3118725129920311,0.302834405643029
8,13,46,5,9,44,47,38,32,42,16,0.830718176644302,0.5369888133358607,0.4159860002496241,0.4056894321561889,0.3599210181038771,0.3502850145414877,0.3351443791799459,0.302834405643029,0.2996435042691232,0.2963544060504712
9,13,9,42,38,46,4,5,47,16,44,0.8027693284854331,0.4367388042552232,0.2820816016374298,0.2656048581536075,0.2348553102567439,0.2222658045378533,0.2153674589788157,0.207993000124812,0.1720284053630616,0.1607667087441261
